om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
614472,2018,1,13,1/13/2018,3:02:00,3,VA,51,0,1,0,0,30000,0,37.4463,-78.0012,37.4518,-77.9982,0.41,150,1,1,1,7,0,0,0,0
614473,2018,1,22,1/22/2018,0:29:00,3,TX,48,0,0,0,0,90000,0,32.1196,-96.3186,32.1307,-96.3053,1.09,60,1,1,1,349,0,0,0,0
614474,2018,1,22,1/22/2018,0:56:00,3,AR,5,0,1,0,0,50000,0,35.0823,-94.2695,35.1407,-94.2124,5.2,350,1,1,1,131,0,0,0,0
614475,2018,1,22,1/22/2018,1:40:00,3,AR,5,0,1,0,0,10000,0,35.3909,-93.9501,35.4397,-93.9022,4.3,400,1,1,1,47,0,0,0,0
614476,2018,1,22,1/22/2018,2:04:00,3,MO,29,0,1,0,0,100000,0,37.0474,-93.8293,37.0659,-93.8213,1.25,75,1,1,1,109,0,0,0,0
614477,2018,1,22,1/22/2018,2:19:00,3,TX,48,0,0,0,0,5000,0,33.0015,-95.3288,33.0092,-95.316,0.25,50,1,1,1,223,0,0,0,0
614478,2018,1,22,1/22/2018,3:26:00,3,TX,48,0,2,0,0,2500000,0,33.4474,-94.6484,33.5266,-94.571,7.06,560,1,1,1,37,0,0,0,0
614479,2018,1,22,1/22/2018,3:43:00,3,TX,48,0,0,0,0,50000,0,33.5655,-94.5114,33.57,-94.5037,0.54,50,1,1,1,37,0,0,0,0
614480,2018,1,22,1/22/2018,3:48:00,3,AR,5,0,1,0,0,40000,0,33.6222,-94.4294,33.6864,-94.3512,6.32,295,1,1,1,81,0,0,0,0
614481,2018,1,22,1/22/2018,6:49:00,3,AR,5,0,1,0,0,100000,0,35.1771,-92.3648,35.2038,-92.3299,2.7,150,1,1,1,45,0,0,0,0
614482,2018,1,22,1/22/2018,8:10:00,3,TX,48,0,0,0,0,20000,0,30.76,-93.89,30.7671,-93.892,0.5,10,1,1,1,241,0,0,0,0
614483,2018,1,22,1/22/2018,8:23:00,3,LA,22,0,0,0,0,15000,0,31.1894,-93.3413,31.1895,-93.3407,0.04,10,1,1,1,115,0,0,0,0
