"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",136,4641.574,237,"minus"
"3","AR",72,303.094,12,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0,0,"plus"
"6","CA",9,0.634,0,"plus"
"7","CO",21,0.04,0,"plus"
"8","CT",1,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",1,0,0,"plus"
"11","FL",39,10.958,0,"minus"
"12","GA",38,197.599,26,"minus"
"13","GU",0,0,0,"plus"
"14","HI",1,0,0,"plus"
"15","IA",51,37.791,0,"minus"
"16","ID",2,0.007,0,"plus"
"17","IL",72,16.823,0,"minus"
"18","IN",72,4.715,0,"plus"
"19","KS",67,20.725,3,"minus"
"20","KY",57,10.203,0,"minus"
"21","LA",57,27.124,1,"minus"
"22","MA",4,227.6,3,"minus"
"23","MD",27,0.835,0,"plus"
"24","ME",5,0,0,"plus"
"25","MI",14,1.846,0,"plus"
"26","MN",30,186.09,1,"minus"
"27","MO",77,2838.262,158,"minus"
"28","MS",94,622.529,42,"minus"
"29","MT",9,0.375,0,"plus"
"30","NC",65,412.354,26,"minus"
"31","ND",59,5.825,0,"plus"
"32","NE",55,19.701,0,"minus"
"33","NH",1,0,0,"plus"
"34","NJ",2,0.125,0,"plus"
"35","NM",2,0,0,"plus"
"36","NV",1,0,0,"plus"
"37","NY",21,2.78,0,"plus"
"38","OH",39,2.586,0,"plus"
"39","OK",118,5.312,14,"plus"
"40","OR",1,0.001,0,"plus"
"41","PA",30,5.175,0,"plus"
"42","PR",1,0.08,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",20,2.91,3,"plus"
"45","SD",19,0.085,0,"plus"
"46","TN",97,56.158,20,"minus"
"47","TX",102,20.241,0,"minus"
"48","UT",1,0,0,"plus"
"49","VA",48,32.156,6,"minus"
"50","VI",0,0,0,"plus"
"51","VT",1,0.01,0,"plus"
"52","WA",2,0.01,0,"plus"
"53","WI",39,33.882,1,"minus"
"54","WV",1,0.006,0,"plus"
"55","WY",7,0,0,"plus"
