,yr,st,Count,Injury,Fatality,Loss
45,2000,AK,0,0,0,0
1,2000,AL,44,179,13,37.314
2,2000,AR,37,12,0,1.285
46,2000,AS,0,0,0,0
47,2000,AZ,0,0,0,0
3,2000,CA,9,0,0,0.07
4,2000,CO,60,2,0,0.821
5,2000,CT,1,0,0,0.01
48,2000,DC,0,0,0,0
49,2000,DE,0,0,0,0
6,2000,FL,77,1,0,7.919
7,2000,GA,28,206,19,35.213
50,2000,GU,0,0,0,0
51,2000,HI,0,0,0,0
8,2000,IA,45,26,1,4.629
9,2000,ID,13,1,0,3.47
10,2000,IL,55,8,0,0.881
11,2000,IN,13,3,0,1.74
12,2000,KS,59,6,0,76.661
13,2000,KY,23,47,0,122.709
14,2000,LA,43,59,0,37.654
15,2000,MA,1,0,0,0
16,2000,MD,8,0,0,1.042
17,2000,ME,2,0,0,0
18,2000,MI,4,0,0,0.07
19,2000,MN,32,18,1,21.3
20,2000,MO,27,0,0,5.983
21,2000,MS,27,17,0,2.892
22,2000,MT,10,0,0,0
23,2000,NC,23,1,0,0.91
24,2000,ND,28,3,0,0.16
25,2000,NE,60,2,0,3.825
52,2000,NH,0,0,0,0
53,2000,NJ,0,0,0,0
26,2000,NM,5,0,0,0
27,2000,NV,2,0,0,0
28,2000,NY,5,2,0,0.37
29,2000,OH,25,107,1,21.892
30,2000,OK,43,7,0,2.117
31,2000,OR,3,1,0,0.13
32,2000,PA,5,0,0,0.01
33,2000,PR,2,0,0,0.01
34,2000,RI,1,0,0,0
35,2000,SC,20,6,1,0.522
36,2000,SD,18,0,0,0.29
37,2000,TN,27,5,1,2.192
38,2000,TX,147,93,4,19.063
39,2000,UT,3,0,0,0.001
40,2000,VA,11,1,0,0.546
54,2000,VI,0,0,0,0
55,2000,VT,0,0,0,0
41,2000,WA,3,0,0,0.11
42,2000,WI,18,16,0,7.99
43,2000,WV,3,0,0,0.291
44,2000,WY,5,0,0,0.03
