"","yr","st","Count","Injury","Fatality","Loss"
"45",2002,"AK",0,0,0,0
"1",2002,"AL",34,131,13,17.913
"2",2002,"AR",33,17,1,0.05
"46",2002,"AS",0,0,0,0
"47",2002,"AZ",0,0,0,0
"3",2002,"CA",3,0,0,0.53
"4",2002,"CO",25,1,0,6.13
"5",2002,"CT",4,0,0,0.05
"48",2002,"DC",0,0,0,0
"49",2002,"DE",0,0,0,0
"6",2002,"FL",43,2,0,3.703
"7",2002,"GA",23,17,0,11.047
"50",2002,"GU",0,0,0,0
"8",2002,"HI",1,0,0,0.06
"9",2002,"IA",31,0,0,0.076
"10",2002,"ID",3,0,0,0.06
"11",2002,"IL",37,64,4,16.045
"12",2002,"IN",15,152,1,109.32
"13",2002,"KS",96,1,0,21.874
"14",2002,"KY",14,26,0,18.984
"15",2002,"LA",33,8,2,17.79
"16",2002,"MA",1,0,0,0.05
"17",2002,"MD",14,122,3,125.82
"18",2002,"ME",3,0,0,0
"19",2002,"MI",11,1,0,0.792
"20",2002,"MN",34,1,0,1.841
"21",2002,"MO",28,61,4,52.024
"22",2002,"MS",29,56,1,67.021
"23",2002,"MT",11,0,0,0.26
"24",2002,"NC",11,0,0,3.071
"25",2002,"ND",17,0,0,0.652
"26",2002,"NE",27,0,0,0.043
"51",2002,"NH",0,0,0,0
"52",2002,"NJ",0,0,0,0
"27",2002,"NM",3,0,0,0
"28",2002,"NV",1,0,0,0
"29",2002,"NY",14,8,0,3.61
"30",2002,"OH",24,30,5,142.371
"31",2002,"OK",17,1,0,0.27
"32",2002,"OR",2,0,0,0.5
"33",2002,"PA",15,21,1,4.89
"34",2002,"PR",1,0,0,0.01
"53",2002,"RI",0,0,0,0
"35",2002,"SC",12,10,0,1.022
"36",2002,"SD",12,0,0,1.01
"37",2002,"TN",30,117,17,17.25
"38",2002,"TX",174,72,3,103.885
"39",2002,"UT",4,0,0,2
"40",2002,"VA",7,17,0,9.583
"54",2002,"VI",0,0,0,0
"41",2002,"VT",2,0,0,0.1
"55",2002,"WA",0,0,0,0
"42",2002,"WI",26,30,0,39.71
"43",2002,"WV",1,0,0,0.1
"44",2002,"WY",8,0,0,0.03
